BRNCH_NME,MonthNam,ProdGroup,TotalAccounts,EOPBalance,AvgMTLBalnce
NAVRANGPURA  AHMEDABAD,Sep 2017,RD,52,150000,150000
NAVRANGPURA  AHMEDABAD,Aug 2017,RD,18,204000,204000
NAVRANGPURA  AHMEDABAD,Jun 2017,RD,9,0,0
NAVRANGPURA  AHMEDABAD,Oct 2017,RD,30,95000,95000
CBD BELAPUR,Mar 2017,RD,14,0,0
PULLIYAKULAM ROAD   COIMBATORE,Aug 2017,RD,15,330000,330000
PULLIYAKULAM ROAD   COIMBATORE,Jul 2017,RD,7,179000,179000
PULLIYAKULAM ROAD   COIMBATORE,Jun 2017,RD,4,0,0
KAMRAJ NAGAR  PUDUCHERRY,May 2017,RD,2,0,0
KAMRAJ NAGAR  PUDUCHERRY,Jun 2017,RD,2,0,0
KAMRAJ NAGAR  PUDUCHERRY,Aug 2017,RD,2,18000,18000
KAMRAJ NAGAR  PUDUCHERRY,Jul 2017,RD,2,11500,11500
THANE BRANCH,Apr 2017,RD,9,0,0
THANE BRANCH,May 2017,RD,9,0,0
THANE BRANCH,Aug 2017,RD,23,652500,652500
THANE BRANCH,Mar 2017,RD,6,0,0
THANE BRANCH,Jul 2017,RD,19,483500,483500
THANE BRANCH,Jun 2017,RD,18,0,0
CBD BELAPUR,Feb 2017,RD,5,0,0
CHEMBUR BRANCH,Sep 2017,RD,22,894000,894000
CHEMBUR BRANCH,Aug 2017,RD,8,353500,353500
CHEMBUR BRANCH,Jul 2017,RD,8,241000,241000
CHEMBUR BRANCH,Jun 2017,RD,7,0,0
CHEMBUR BRANCH,Oct 2017,RD,11,588500,588500
Wadachiwadi,Sep 2017,RD,12,6000,6000
KAMRAJ NAGAR  PUDUCHERRY,Sep 2017,RD,4,0,0
KAMRAJ NAGAR  PUDUCHERRY,Oct 2017,RD,2,0,0
MHALUNGE BUS STOP  PUNE,Oct 2017,RD,8,0,0
MHALUNGE BUS STOP  PUNE,Sep 2017,RD,12,0,0
MHALUNGE BUS STOP  PUNE,Aug 2017,RD,3,2500,2500
SADASHIV PETH   PUNE,Oct 2017,RD,9,0,0
SADASHIV PETH   PUNE,Sep 2017,RD,10,0,0
SADASHIV PETH   PUNE,Aug 2017,RD,5,36400,36400
T. NAGAR  CHENNAI,Aug 2017,RD,14,310000,310000
Alandi,Oct 2017,RD,7,0,0
SADASHIV PETH   PUNE,Jul 2017,RD,3,15700,15700
